season,seasonType,week,poll,rank,school,conference,firstPlaceVotes,points
2020,regular,3,Coaches Poll,19,Virginia Tech,ACC,0,265
2020,regular,3,Coaches Poll,20,Kentucky,SEC,0,232
2020,regular,3,Coaches Poll,21,Louisiana,Sun Belt,0,219
2020,regular,3,Coaches Poll,22,BYU,FBS Independents,0,201
2020,regular,3,Coaches Poll,23,Appalachian State,Sun Belt,0,177
2020,regular,3,Coaches Poll,24,Baylor,Big 12,0,161
2020,regular,3,Coaches Poll,25,Army,FBS Independents,0,127
2020,regular,3,AP Top 25,1,Clemson,ACC,60,1524
2020,regular,3,AP Top 25,2,Alabama,SEC,0,1456
2020,regular,3,AP Top 25,3,Oklahoma,Big 12,0,1361
2020,regular,3,AP Top 25,4,Georgia,SEC,0,1324
2020,regular,3,AP Top 25,5,Florida,SEC,0,1237
2020,regular,3,AP Top 25,6,LSU,SEC,1,1236
2020,regular,3,AP Top 25,7,Notre Dame,FBS Independents,0,1155
2020,regular,3,AP Top 25,8,Auburn,SEC,0,1055
2020,regular,3,AP Top 25,9,Texas,Big 12,0,1033
2020,regular,3,AP Top 25,10,Texas A&M,SEC,0,983
2020,regular,3,AP Top 25,11,Oklahoma State,Big 12,0,927
2020,regular,3,AP Top 25,12,North Carolina,ACC,0,892
2020,regular,3,AP Top 25,13,Cincinnati,American Athletic,0,647
2020,regular,3,AP Top 25,14,UCF,American Athletic,0,632
2020,regular,3,AP Top 25,15,Tennessee,SEC,0,528
2020,regular,3,AP Top 25,16,Memphis,American Athletic,0,495
2020,regular,3,AP Top 25,17,Miami,ACC,0,463
2020,regular,3,AP Top 25,18,Louisville,ACC,0,387
2020,regular,3,AP Top 25,19,Louisiana,Sun Belt,0,377
2020,regular,3,AP Top 25,20,Virginia Tech,ACC,0,368
2020,regular,3,AP Top 25,21,BYU,FBS Independents,0,357
2020,regular,3,AP Top 25,22,Army,FBS Independents,0,243
2020,regular,3,AP Top 25,23,Kentucky,SEC,0,238
2020,regular,3,AP Top 25,24,Appalachian State,Sun Belt,0,237
2020,regular,3,AP Top 25,25,Pittsburgh,ACC,0,157
2020,regular,4,Coaches Poll,1,Clemson,ACC,44,1196
2020,regular,4,Coaches Poll,2,Alabama,SEC,1,1119
2020,regular,4,Coaches Poll,3,Oklahoma,Big 12,0,1019
2020,regular,4,Coaches Poll,3,Georgia,SEC,0,1019
2020,regular,4,Coaches Poll,5,LSU,SEC,1,962
2020,regular,4,Coaches Poll,6,Florida,SEC,0,899
2020,regular,4,Coaches Poll,7,Notre Dame,FBS Independents,0,896
2020,regular,4,Coaches Poll,8,Auburn,SEC,0,766
2020,regular,4,Coaches Poll,9,Texas,Big 12,0,764
2020,regular,4,Coaches Poll,10,Ohio State,Big Ten,2,741
2020,regular,4,Coaches Poll,11,Texas A&M,SEC,0,651
2020,regular,4,Coaches Poll,12,North Carolina,ACC,0,563
2020,regular,4,Coaches Poll,13,Penn State,Big Ten,0,536
2020,regular,4,Coaches Poll,14,Miami,ACC,0,500
2020,regular,4,Coaches Poll,15,UCF,American Athletic,0,497
2020,regular,4,Coaches Poll,16,Cincinnati,American Athletic,0,416
2020,regular,4,Coaches Poll,17,Wisconsin,Big Ten,0,411
2020,regular,4,Coaches Poll,18,Oklahoma State,Big 12,0,315
2020,regular,4,Coaches Poll,19,Michigan,Big Ten,0,287
2020,regular,4,Coaches Poll,20,Memphis,American Athletic,0,269
2020,regular,4,Coaches Poll,21,Tennessee,SEC,0,266
2020,regular,4,Coaches Poll,22,Minnesota,Big Ten,0,178
2020,regular,4,Coaches Poll,23,BYU,FBS Independents,0,177
2020,regular,4,Coaches Poll,24,Virginia Tech,ACC,0,167
2020,regular,4,Coaches Poll,25,Louisiana,Sun Belt,0,158
2020,regular,4,AP Top 25,1,Clemson,ACC,59,1523
2020,regular,4,AP Top 25,2,Alabama,SEC,1,1458
2020,regular,4,AP Top 25,3,Oklahoma,Big 12,0,1368
2020,regular,4,AP Top 25,4,Georgia,SEC,0,1320
2020,regular,4,AP Top 25,5,Florida,SEC,0,1239
2020,regular,4,AP Top 25,6,LSU,SEC,1,1221
2020,regular,4,AP Top 25,7,Notre Dame,FBS Independents,0,1200
2020,regular,4,AP Top 25,8,Auburn,SEC,0,1037
2020,regular,4,AP Top 25,8,Texas,Big 12,0,1037
2020,regular,4,AP Top 25,10,Texas A&M,SEC,0,972
2020,regular,4,AP Top 25,11,North Carolina,ACC,0,883
2020,regular,4,AP Top 25,12,Miami,ACC,0,816
2020,regular,4,AP Top 25,13,UCF,American Athletic,0,771
2020,regular,4,AP Top 25,14,Cincinnati,American Athletic,0,720
2020,regular,4,AP Top 25,15,Oklahoma State,Big 12,0,693
2020,regular,4,AP Top 25,16,Tennessee,SEC,0,529
2020,regular,4,AP Top 25,17,Memphis,American Athletic,0,510
2020,regular,4,AP Top 25,18,BYU,FBS Independents,0,405
2020,regular,4,AP Top 25,19,Louisiana,Sun Belt,0,374
2020,regular,4,AP Top 25,20,Virginia Tech,ACC,0,350
2020,regular,4,AP Top 25,21,Pittsburgh,ACC,0,315
2020,regular,4,AP Top 25,22,Army,FBS Independents,0,296
2020,regular,4,AP Top 25,23,Kentucky,SEC,0,230
2020,regular,4,AP Top 25,24,Louisville,ACC,0,115
2020,regular,4,AP Top 25,25,Marshall,Conference USA,0,108
2020,regular,5,Coaches Poll,1,Clemson,ACC,42,1194
2020,regular,5,Coaches Poll,2,Alabama,SEC,4,1144
2020,regular,5,Coaches Poll,3,Florida,SEC,0,1038
2020,regular,5,Coaches Poll,4,Georgia,SEC,0,1006
2020,regular,5,Coaches Poll,5,Notre Dame,FBS Independents,0,971
2020,regular,5,Coaches Poll,6,Ohio State,Big Ten,2,890
2020,regular,5,Coaches Poll,7,Auburn,SEC,0,889
2020,regular,5,Coaches Poll,8,Miami,ACC,0,795
2020,regular,5,Coaches Poll,9,Texas,Big 12,0,745
2020,regular,5,Coaches Poll,10,Penn State,Big Ten,0,589
2020,regular,5,Coaches Poll,11,North Carolina,ACC,0,578
2020,regular,5,Coaches Poll,12,UCF,American Athletic,0,577
2020,regular,5,Coaches Poll,13,Texas A&M,SEC,0,561
2020,regular,5,Coaches Poll,14,Mississippi State,SEC,0,492
2020,regular,5,Coaches Poll,15,Cincinnati,American Athletic,0,480
2020,regular,5,Coaches Poll,16,Oklahoma,Big 12,0,473
2020,regular,5,Coaches Poll,17,LSU,SEC,0,445
2020,regular,5,Coaches Poll,18,Wisconsin,Big Ten,0,438
2020,regular,5,Coaches Poll,19,Oklahoma State,Big 12,0,374
2020,regular,5,Coaches Poll,20,Tennessee,SEC,0,321
2020,regular,5,Coaches Poll,21,Michigan,Big Ten,0,271
2020,regular,5,Coaches Poll,22,BYU,FBS Independents,0,260
2020,regular,5,Coaches Poll,23,Virginia Tech,ACC,0,215
2020,regular,5,Coaches Poll,24,Memphis,American Athletic,0,210
2020,regular,5,Coaches Poll,25,Pittsburgh,ACC,0,179
2020,regular,5,AP Top 25,1,Clemson,ACC,55,1542
2020,regular,5,AP Top 25,2,Alabama,SEC,3,1473
2020,regular,5,AP Top 25,3,Florida,SEC,0,1324
2020,regular,5,AP Top 25,4,Georgia,SEC,0,1310
2020,regular,5,AP Top 25,5,Notre Dame,FBS Independents,0,1231
2020,regular,5,AP Top 25,6,Ohio State,Big Ten,4,1169
2020,regular,5,AP Top 25,7,Auburn,SEC,0,1133
2020,regular,5,AP Top 25,8,Miami,ACC,0,1045
2020,regular,5,AP Top 25,9,Texas,Big 12,0,862
2020,regular,5,AP Top 25,10,Penn State,Big Ten,0,840
2020,regular,5,AP Top 25,11,UCF,American Athletic,0,743
2020,regular,5,AP Top 25,12,North Carolina,ACC,0,734
2020,regular,5,AP Top 25,13,Texas A&M,SEC,0,705
2020,regular,5,AP Top 25,14,Oregon,Pac-12,0,651
2020,regular,5,AP Top 25,15,Cincinnati,American Athletic,0,646
2020,regular,5,AP Top 25,16,Mississippi State,SEC,0,590
2020,regular,5,AP Top 25,17,Oklahoma State,Big 12,0,555
2020,regular,5,AP Top 25,18,Oklahoma,Big 12,0,535
2020,regular,5,AP Top 25,19,Wisconsin,Big Ten,0,510
2020,regular,5,AP Top 25,20,LSU,SEC,0,401
2020,regular,5,AP Top 25,21,Tennessee,SEC,0,377
2020,regular,5,AP Top 25,22,BYU,FBS Independents,0,295
2020,regular,5,AP Top 25,23,Michigan,Big Ten,0,277
2020,regular,5,AP Top 25,24,Pittsburgh,ACC,0,248
2020,regular,5,AP Top 25,25,Memphis,American Athletic,0,196
2020,regular,6,AP Top 25,1,Clemson,ACC,52,1536
2020,regular,6,AP Top 25,2,Alabama,SEC,8,1488
2020,regular,6,AP Top 25,3,Georgia,SEC,0,1380
2020,regular,6,AP Top 25,4,Florida,SEC,0,1340
2020,regular,6,AP Top 25,5,Notre Dame,FBS Independents,0,1239
2020,regular,6,AP Top 25,6,Ohio State,Big Ten,2,1165
2020,regular,6,AP Top 25,7,Miami,ACC,0,1148
2020,regular,6,AP Top 25,8,North Carolina,ACC,0,944
2020,regular,6,AP Top 25,9,Penn State,Big Ten,0,935
2020,regular,6,AP Top 25,10,Oklahoma State,Big 12,0,919
2020,regular,6,AP Top 25,11,Cincinnati,American Athletic,0,895
2020,regular,6,AP Top 25,12,Oregon,Pac-12,0,786
2020,regular,6,AP Top 25,13,Auburn,SEC,0,731
2020,regular,6,AP Top 25,14,Tennessee,SEC,0,717
2020,regular,6,AP Top 25,15,BYU,FBS Independents,0,661
2020,regular,6,AP Top 25,16,Wisconsin,Big Ten,0,619
2020,regular,6,AP Top 25,17,LSU,SEC,0,478
2020,regular,6,AP Top 25,18,SMU,American Athletic,0,393
2020,regular,6,AP Top 25,19,Virginia Tech,ACC,0,391
2020,regular,6,AP Top 25,20,Michigan,Big Ten,0,350
2020,regular,6,AP Top 25,21,Texas A&M,SEC,0,330
2020,regular,6,AP Top 25,22,Texas,Big 12,0,228
2020,regular,6,AP Top 25,23,Louisiana,Sun Belt,0,216
2020,regular,6,AP Top 25,24,Iowa State,Big 12,0,215
2020,regular,6,AP Top 25,25,Minnesota,Big Ten,0,145
2020,regular,6,Coaches Poll,1,Clemson,ACC,46,1533
2020,regular,6,Coaches Poll,2,Alabama,SEC,14,1496
2020,regular,6,Coaches Poll,3,Florida,SEC,0,1372
2020,regular,6,Coaches Poll,3,Georgia,SEC,0,1372
2020,regular,6,Coaches Poll,5,Notre Dame,FBS Independents,0,1256
2020,regular,6,Coaches Poll,6,Ohio State,Big Ten,2,1192
2020,regular,6,Coaches Poll,7,Miami,ACC,0,1149
2020,regular,6,Coaches Poll,8,Penn State,Big Ten,0,983
2020,regular,6,Coaches Poll,9,North Carolina,ACC,0,982
2020,regular,6,Coaches Poll,10,Oklahoma State,Big 12,0,818
2020,regular,6,Coaches Poll,11,Cincinnati,American Athletic,0,807
2020,regular,6,Coaches Poll,12,Tennessee,SEC,0,744
2020,regular,6,Coaches Poll,13,Auburn,SEC,0,701
2020,regular,6,Coaches Poll,14,Wisconsin,Big Ten,0,668
2020,regular,6,Coaches Poll,15,BYU,FBS Independents,0,646
2020,regular,6,Coaches Poll,16,LSU,SEC,0,616
2020,regular,6,Coaches Poll,17,Oregon,Pac-12,0,494
2020,regular,6,Coaches Poll,18,Virginia Tech,ACC,0,423
2020,regular,6,Coaches Poll,19,Michigan,Big Ten,0,409
2020,regular,6,Coaches Poll,20,Texas A&M,SEC,0,339
2020,regular,6,Coaches Poll,21,SMU,American Athletic,0,304
2020,regular,6,Coaches Poll,22,Texas,Big 12,0,295
2020,regular,6,Coaches Poll,23,Louisiana,Sun Belt,0,207
2020,regular,6,Coaches Poll,24,Iowa State,Big 12,0,137
2020,regular,6,Coaches Poll,25,UCF,American Athletic,0,127
2020,regular,7,Coaches Poll,1,Clemson,ACC,55,1543
2020,regular,7,Coaches Poll,2,Alabama,SEC,5,1478
2020,regular,7,Coaches Poll,3,Georgia,SEC,0,1424
2020,regular,7,Coaches Poll,4,Notre Dame,FBS Independents,0,1332
2020,regular,7,Coaches Poll,5,Ohio State,Big Ten,2,1194
2020,regular,7,Coaches Poll,6,North Carolina,ACC,0,1175
2020,regular,7,Coaches Poll,7,Oklahoma State,Big 12,0,1056
2020,regular,7,Coaches Poll,8,Penn State,Big Ten,0,1005
2020,regular,7,Coaches Poll,9,Florida,SEC,0,928
2020,regular,7,Coaches Poll,10,Cincinnati,American Athletic,0,906
2020,regular,7,Coaches Poll,11,Texas A&M,SEC,0,801
2020,regular,7,Coaches Poll,12,Miami,ACC,0,795
2020,regular,7,Coaches Poll,13,BYU,FBS Independents,0,759
2020,regular,7,Coaches Poll,14,Auburn,SEC,0,735
2020,regular,7,Coaches Poll,15,Wisconsin,Big Ten,0,687
2020,regular,7,Coaches Poll,16,Oregon,Pac-12,0,646
2020,regular,7,Coaches Poll,17,Tennessee,SEC,0,505
2020,regular,7,Coaches Poll,18,SMU,American Athletic,0,464
2020,regular,7,Coaches Poll,19,Michigan,Big Ten,0,454
2020,regular,7,Coaches Poll,20,Iowa State,Big 12,0,372
2020,regular,7,Coaches Poll,21,Louisiana,Sun Belt,0,280
2020,regular,7,Coaches Poll,22,Kansas State,Big 12,0,276
2020,regular,7,Coaches Poll,23,Virginia Tech,ACC,0,156
2020,regular,7,Coaches Poll,24,USC,Pac-12,0,147
2020,regular,7,Coaches Poll,25,Minnesota,Big Ten,0,146
2020,regular,7,AP Top 25,1,Clemson,ACC,59,1546
2020,regular,7,AP Top 25,2,Alabama,SEC,2,1463
2020,regular,7,AP Top 25,3,Georgia,SEC,1,1430
2020,regular,7,AP Top 25,4,Notre Dame,FBS Independents,0,1317
2020,regular,7,AP Top 25,5,North Carolina,ACC,0,1190
2020,regular,7,AP Top 25,6,Ohio State,Big Ten,0,1152
2020,regular,7,AP Top 25,7,Oklahoma State,Big 12,0,1069
2020,regular,7,AP Top 25,8,Cincinnati,American Athletic,0,971
2020,regular,7,AP Top 25,9,Penn State,Big Ten,0,970
2020,regular,7,AP Top 25,10,Florida,SEC,0,904
2020,regular,7,AP Top 25,11,Texas A&M,SEC,0,883
2020,regular,7,AP Top 25,12,Oregon,Pac-12,0,817
2020,regular,7,AP Top 25,13,Miami,ACC,0,790
2020,regular,7,AP Top 25,14,Auburn,SEC,0,703
2020,regular,7,AP Top 25,15,BYU,FBS Independents,0,693
2020,regular,7,AP Top 25,16,Wisconsin,Big Ten,0,633
2020,regular,7,AP Top 25,17,SMU,American Athletic,0,522
2020,regular,7,AP Top 25,18,Tennessee,SEC,0,463
2020,regular,7,AP Top 25,19,Michigan,Big Ten,0,417
2020,regular,7,AP Top 25,20,Iowa State,Big 12,0,405
2020,regular,7,AP Top 25,21,Louisiana,Sun Belt,0,342
2020,regular,7,AP Top 25,22,Kansas State,Big 12,0,302
2020,regular,7,AP Top 25,23,Virginia Tech,ACC,0,199
2020,regular,7,AP Top 25,24,Minnesota,Big Ten,0,177
2020,regular,7,AP Top 25,25,USC,Pac-12,0,124
2020,regular,8,Coaches Poll,1,Clemson,ACC,52,1540
2020,regular,8,Coaches Poll,2,Alabama,SEC,8,1494
2020,regular,8,Coaches Poll,3,Notre Dame,FBS Independents,0,1351
2020,regular,8,Coaches Poll,4,Georgia,SEC,0,1295
2020,regular,8,Coaches Poll,5,Ohio State,Big Ten,2,1254
2020,regular,8,Coaches Poll,6,Oklahoma State,Big 12,0,1149
2020,regular,8,Coaches Poll,7,Penn State,Big Ten,0,1059
2020,regular,8,Coaches Poll,8,Florida,SEC,0,1002
2020,regular,8,Coaches Poll,9,Texas A&M,SEC,0,1001
2020,regular,8,Coaches Poll,10,Cincinnati,American Athletic,0,989
2020,regular,8,Coaches Poll,11,Miami,ACC,0,890
2020,regular,8,Coaches Poll,11,BYU,FBS Independents,0,890
2020,regular,8,Coaches Poll,13,North Carolina,ACC,0,725
2020,regular,8,Coaches Poll,14,Wisconsin,Big Ten,0,698
2020,regular,8,Coaches Poll,15,Oregon,Pac-12,0,683
2020,regular,8,Coaches Poll,16,SMU,American Athletic,0,618
2020,regular,8,Coaches Poll,17,Michigan,Big Ten,0,507
2020,regular,8,Coaches Poll,18,Iowa State,Big 12,0,485
2020,regular,8,Coaches Poll,19,Kansas State,Big 12,0,395
2020,regular,8,Coaches Poll,20,Virginia Tech,ACC,0,373
2020,regular,8,Coaches Poll,21,Minnesota,Big Ten,0,209
2020,regular,8,Coaches Poll,22,NC State,ACC,0,200
2020,regular,8,Coaches Poll,23,USC,Pac-12,0,186
2020,regular,8,Coaches Poll,24,Coastal Carolina,Sun Belt,0,150
2020,regular,8,Coaches Poll,25,Marshall,Conference USA,0,139
2020,regular,8,AP Top 25,1,Clemson,ACC,54,1542
2020,regular,8,AP Top 25,2,Alabama,SEC,8,1494
2020,regular,8,AP Top 25,3,Notre Dame,FBS Independents,0,1337
2020,regular,8,AP Top 25,4,Georgia,SEC,0,1300
2020,regular,8,AP Top 25,5,Ohio State,Big Ten,0,1223
2020,regular,8,AP Top 25,6,Oklahoma State,Big 12,0,1137
2020,regular,8,AP Top 25,7,Texas A&M,SEC,0,1054
2020,regular,8,AP Top 25,8,Penn State,Big Ten,0,1033
2020,regular,8,AP Top 25,9,Cincinnati,American Athletic,0,1028
2020,regular,8,AP Top 25,10,Florida,SEC,0,942
2020,regular,8,AP Top 25,11,Miami,ACC,0,887
2020,regular,8,AP Top 25,12,BYU,FBS Independents,0,875
2020,regular,8,AP Top 25,13,Oregon,Pac-12,0,841
2020,regular,8,AP Top 25,14,North Carolina,ACC,0,677
2020,regular,8,AP Top 25,14,Wisconsin,Big Ten,0,677
2020,regular,8,AP Top 25,16,SMU,American Athletic,0,638
2020,regular,8,AP Top 25,17,Iowa State,Big 12,0,511
2020,regular,8,AP Top 25,18,Michigan,Big Ten,0,489
2020,regular,8,AP Top 25,19,Virginia Tech,ACC,0,411
2020,regular,8,AP Top 25,20,Kansas State,Big 12,0,399
2020,regular,8,AP Top 25,21,Minnesota,Big Ten,0,234
2020,regular,8,AP Top 25,22,Marshall,Conference USA,0,227
2020,regular,8,AP Top 25,23,NC State,ACC,0,199
2020,regular,8,AP Top 25,24,USC,Pac-12,0,192
2020,regular,8,AP Top 25,25,Coastal Carolina,Sun Belt,0,185
2020,regular,9,Coaches Poll,1,Clemson,ACC,52,1540
2020,regular,9,Coaches Poll,2,Alabama,SEC,8,1493
2020,regular,9,Coaches Poll,3,Ohio State,Big Ten,2,1374
2020,regular,9,Coaches Poll,4,Notre Dame,FBS Independents,0,1368
2020,regular,9,Coaches Poll,5,Georgia,SEC,0,1293
2020,regular,9,Coaches Poll,6,Oklahoma State,Big 12,0,1209
2020,regular,9,Coaches Poll,7,Cincinnati,American Athletic,0,1058
2020,regular,9,Coaches Poll,8,Texas A&M,SEC,0,1055
2020,regular,9,Coaches Poll,9,Florida,SEC,0,1010
2020,regular,9,Coaches Poll,10,BYU,FBS Independents,0,941
2020,regular,9,Coaches Poll,11,Wisconsin,Big Ten,0,928
2020,regular,9,Coaches Poll,12,Miami,ACC,0,911
2020,regular,9,Coaches Poll,13,North Carolina,ACC,0,796
2020,regular,9,Coaches Poll,14,Michigan,Big Ten,0,789
2020,regular,9,Coaches Poll,15,Oregon,Pac-12,0,674
2020,regular,9,Coaches Poll,16,Kansas State,Big 12,0,592
2020,regular,9,Coaches Poll,17,Penn State,Big Ten,0,413
2020,regular,9,Coaches Poll,18,Marshall,Conference USA,0,309
2020,regular,9,Coaches Poll,19,Indiana,Big Ten,0,302
2020,regular,9,Coaches Poll,20,USC,Pac-12,0,271
2020,regular,9,Coaches Poll,21,Coastal Carolina,Sun Belt,0,268
2020,regular,9,Coaches Poll,22,Iowa State,Big 12,0,215
2020,regular,9,Coaches Poll,23,SMU,American Athletic,0,192
2020,regular,9,Coaches Poll,24,Oklahoma,Big 12,0,138
2020,regular,9,Coaches Poll,25,Army,FBS Independents,0,130
2020,regular,9,AP Top 25,1,Clemson,ACC,52,1539
2020,regular,9,AP Top 25,2,Alabama,SEC,10,1494
2020,regular,9,AP Top 25,3,Ohio State,Big Ten,0,1402
2020,regular,9,AP Top 25,4,Notre Dame,FBS Independents,0,1353
2020,regular,9,AP Top 25,5,Georgia,SEC,0,1292
2020,regular,9,AP Top 25,6,Oklahoma State,Big 12,0,1201
2020,regular,9,AP Top 25,7,Cincinnati,American Athletic,0,1100
2020,regular,9,AP Top 25,8,Texas A&M,SEC,0,1094
2020,regular,9,AP Top 25,9,Wisconsin,Big Ten,0,950
2020,regular,9,AP Top 25,10,Florida,SEC,0,933
2020,regular,9,AP Top 25,11,BYU,FBS Independents,0,906
2020,regular,9,AP Top 25,12,Miami,ACC,0,888
2020,regular,9,AP Top 25,13,Michigan,Big Ten,0,839
2020,regular,9,AP Top 25,14,Oregon,Pac-12,0,784
2020,regular,9,AP Top 25,15,North Carolina,ACC,0,758
2020,regular,9,AP Top 25,16,Kansas State,Big 12,0,562
2020,regular,9,AP Top 25,17,Indiana,Big Ten,0,466
2020,regular,9,AP Top 25,18,Penn State,Big Ten,0,443
2020,regular,9,AP Top 25,19,Marshall,Conference USA,0,379
2020,regular,9,AP Top 25,20,Coastal Carolina,Sun Belt,0,282
2020,regular,9,AP Top 25,21,USC,Pac-12,0,243
2020,regular,9,AP Top 25,22,SMU,American Athletic,0,208
2020,regular,9,AP Top 25,23,Iowa State,Big 12,0,205
2020,regular,9,AP Top 25,24,Oklahoma,Big 12,0,155
2020,regular,9,AP Top 25,25,Boise State,Mountain West,0,113
2020,regular,10,Coaches Poll,1,Clemson,ACC,43,1527
2020,regular,10,Coaches Poll,2,Alabama,SEC,17,1503
2020,regular,10,Coaches Poll,3,Ohio State,Big Ten,2,1407
2020,regular,10,Coaches Poll,4,Notre Dame,FBS Independents,0,1358
2020,regular,10,Coaches Poll,5,Georgia,SEC,0,1304
2020,regular,10,Coaches Poll,6,Cincinnati,American Athletic,0,1157
2020,regular,10,Coaches Poll,7,Texas A&M,SEC,0,1154
2020,regular,10,Coaches Poll,8,Florida,SEC,0,1101
2020,regular,10,Coaches Poll,9,BYU,FBS Independents,0,1025
2020,regular,10,Coaches Poll,10,Miami,ACC,0,964
2020,regular,10,Coaches Poll,11,Wisconsin,Big Ten,0,908
2020,regular,10,Coaches Poll,12,Oklahoma State,Big 12,0,783
2020,regular,10,Coaches Poll,13,Indiana,Big Ten,0,730
2020,regular,10,Coaches Poll,14,Oregon,Pac-12,0,725
2020,regular,10,Coaches Poll,15,Marshall,Conference USA,0,473
2020,regular,10,Coaches Poll,16,Coastal Carolina,Sun Belt,0,464
2020,regular,10,Coaches Poll,17,Iowa State,Big 12,0,433
2020,regular,10,Coaches Poll,18,SMU,American Athletic,0,421
2020,regular,10,Coaches Poll,19,Oklahoma,Big 12,0,413
2020,regular,10,Coaches Poll,20,USC,Pac-12,0,365
2020,regular,10,Coaches Poll,21,Auburn,SEC,0,246
2020,regular,10,Coaches Poll,22,Army,FBS Independents,0,208
2020,regular,10,Coaches Poll,23,Boise State,Mountain West,0,204
2020,regular,10,Coaches Poll,24,North Carolina,ACC,0,192
2020,regular,10,Coaches Poll,25,Michigan,Big Ten,0,141
2020,regular,10,AP Top 25,1,Clemson,ACC,33,1515
2020,regular,10,AP Top 25,2,Alabama,SEC,29,1513
2020,regular,10,AP Top 25,3,Ohio State,Big Ten,0,1430
